id,year,title,relative_path,delete_as_activity_notice,confidence,category,reason
"efacb1cea21a","2025","新智元十年，ASI降临，诚邀你加入！","2025/2025-06-29_新智元十年，ASI降临，诚邀你加入！.txt","true","0.95","招聘启事","该文章主要内容为新智元机构的十周年人才招募公告，列出了具体的职位需求、工作内容及岗位要求，属于时效性较强的招聘宣传类文本，不具备长期的知识参考或内容总结价值。"
"a08ccd7e8df6","2025","新智元十年，ASI降临，诚邀你加入！","2025/2025-06-30_新智元十年，ASI降临，诚邀你加入！.txt","true","0.95","招聘/宣传","该文章主要内容为新智元成立十周年的宣传以及多职位的招聘信息，属于低长期参考价值的招募宣传类文本。"
"d23ac6ec0469","2025","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-02_新智元十年，ASI降临，诚邀你加入！.txt","true","0.95","招聘信息","文章主体内容为新智元十周年的招聘宣传及具体职位招募，包含岗位职责、要求和简历投递方式，属于时效性强、长期参考价值低的招募通知。"
"0eb2f5a7d7e8","2025","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-03_新智元十年，ASI降临，诚邀你加入！.txt","true","0.95","招聘启事","该文章主要内容为新智元的十周年招聘广告，包含具体职位的描述、薪资待遇、工作地点及联系方式，属于具有时效性的招募邀请，缺乏长期的学术或技术参考价值。"
"be4045025736","2025","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-04_新智元十年，ASI降临，诚邀你加入！.txt","true","1","招聘启事","该文章为机构十周年宣传及岗位招聘公告，主要内容为公司介绍、职位说明和简历投递方式，属于典型的具有时效性的引流及报名邀请类文本，缺乏长期的学术或技术参考价值。"
"d049fa0015cd","2025","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-05_新智元十年，ASI降临，诚邀你加入！.txt","true","1","招聘宣传","该文章主要内容为新智元成立十周年的招聘启事，包含职位描述、岗位要求、薪资待遇及联系方式，属于时效性较强的招募引流信息，不具备长期的知识参考价值。"
"70be47d5dc87","2025","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-06_新智元十年，ASI降临，诚邀你加入！.txt","true","1","招聘宣传","该文章主要内容为新智元媒体平台的十周年招聘启事，包含职位描述、任职要求及联系方式，属于具有较强时效性的宣传引流信息，缺乏长期的学术研究、技术总结或纪要参考价值。"
"e3f9e4a79ad4","2025","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-07_新智元十年，ASI降临，诚邀你加入！.txt","true","1","招聘/引流信息","该文章主要内容为十周年庆典宣传及多岗位的招聘信息（职位描述、薪资、投递方式），属于典型的时效性宣传及报名邀请类文本，缺乏长期的学术参考或方法论价值。"
"09132b3e61b8","2025","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-08_新智元十年，ASI降临，诚邀你加入！.txt","true","0.95","招聘及活动预告","文章主要内容为新智元十周年庆典预告及多个岗位的招聘启事，属于典型的低长期参考价值的宣传与招募类文本。"
"b6d83265b703","2025","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-09_新智元十年，ASI降临，诚邀你加入！.txt","true","1","招聘信息","本文主要内容为新智元媒体平台的十周年招聘启事，包含职位介绍、岗位要求及简历投递方式，属于典型的具有强时效性的引流和宣传文本，缺乏长期的学术或技术参考价值。"
